asset,kind,generator,data,output,source_figure,note
fig1_dimension_law_clean,main_figure,paper_runs/conference_fix.py and paper_runs/make_fig2_neutral_geometry_v2.py,results/journal_full raw CSV tables,draft_asset_generation_code/generated_assets/figures/fig1_dimension_law_clean.pdf,,
fig2_neutral_geometry_clean_v2,main_figure,paper_runs/conference_fix.py and paper_runs/make_fig2_neutral_geometry_v2.py,results/journal_full raw CSV tables,draft_asset_generation_code/generated_assets/figures/fig2_neutral_geometry_clean_v2.pdf,,
fig3_equivariant_rnn_clean,main_figure,paper_runs/conference_fix.py and paper_runs/make_fig2_neutral_geometry_v2.py,results/journal_full raw CSV tables,draft_asset_generation_code/generated_assets/figures/fig3_equivariant_rnn_clean.pdf,,
fig4_pseudogap_breaking_clean,main_figure,paper_runs/conference_fix.py and paper_runs/make_fig2_neutral_geometry_v2.py,results/journal_full raw CSV tables,draft_asset_generation_code/generated_assets/figures/fig4_pseudogap_breaking_clean.pdf,,
figure_A8_consequence_null,appendix_figure,paper_runs/conference_fix.py::plot_fig5_consequence_null,results/journal_full/exp15_path_integration_benchmark and exp17_finite_grid_null,draft_asset_generation_code/generated_assets/figures/figure_A8_consequence_null.pdf,,
figure5_learned_path_integration,main_or_appendix_figure,goldstone_lyapunov/experiments/exp31_learned_equivariant_path_integration.py plotting functions,results/learned_equivariant_pi CSV tables,draft_asset_generation_code/generated_assets/figures/figure5_learned_path_integration.pdf,fig_learned_task_performance,
figure_A6_learned_symmetry_diagnostics,main_or_appendix_figure,goldstone_lyapunov/experiments/exp31_learned_equivariant_path_integration.py plotting functions,results/learned_equivariant_pi CSV tables,draft_asset_generation_code/generated_assets/figures/figure_A6_learned_symmetry_diagnostics.pdf,fig_learned_symmetry_diagnostics,
figure_A7_learned_pseudogap,main_or_appendix_figure,goldstone_lyapunov/experiments/exp31_learned_equivariant_path_integration.py plotting functions,results/learned_equivariant_pi CSV tables,draft_asset_generation_code/generated_assets/figures/figure_A7_learned_pseudogap.pdf,fig_learned_pseudogap,
figure_A5_task_schematic,appendix_figure,draft_asset_generation_code/run_all.py::generate_task_schematic,deterministic illustrative velocity trace,draft_asset_generation_code/generated_assets/figures/figure_A5_task_schematic.pdf,,
figure_A1_existing_training_curves,appendix_figure,draft_asset_generation_code/run_all.py plus exp32 plotting functions,results/iclr_final_checks and results/learned_equivariant_pi,draft_asset_generation_code/generated_assets/figures/figure_A1_existing_training_curves.pdf,,
figure_A2_stronger_baseline_training_curves,appendix_figure,draft_asset_generation_code/run_all.py plus exp32 plotting functions,results/iclr_final_checks and results/learned_equivariant_pi,draft_asset_generation_code/generated_assets/figures/figure_A2_stronger_baseline_training_curves.pdf,,
figure_A3_stronger_baseline_eval,appendix_figure,draft_asset_generation_code/run_all.py plus exp32 plotting functions,results/iclr_final_checks and results/learned_equivariant_pi,draft_asset_generation_code/generated_assets/figures/figure_A3_stronger_baseline_eval.pdf,,
figure_A4_parameter_matched_baselines,appendix_figure,draft_asset_generation_code/run_all.py plus exp32 plotting functions,results/iclr_final_checks and results/learned_equivariant_pi,draft_asset_generation_code/generated_assets/figures/figure_A4_parameter_matched_baselines.pdf,,
figure_A9_finite_time_chaos_diagnostics,appendix_figure_archived_full_run,goldstone_lyapunov/experiments/exp25_finite_time_chaos_diagnostics.py,results/journal_full/exp25_finite_time_chaos_diagnostics,draft_asset_generation_code/generated_assets/figures/figure_A9_finite_time_chaos_diagnostics.png,,Copied archived full-run PNG by default; rerun command is listed in rerun_commands.ps1.
figure_A10_large_chaotic_spectra,appendix_figure_archived_full_run,goldstone_lyapunov/experiments/exp26_large_chaotic_spectra.py,results/journal_full/exp26_large_chaotic_spectra,draft_asset_generation_code/generated_assets/figures/figure_A10_large_chaotic_spectra.png,,Copied archived full-run PNG by default; rerun command is listed in rerun_commands.ps1.
figure_A11_path_integration_heatmaps,appendix_figure_archived_full_run,goldstone_lyapunov/experiments/exp21_path_integration_heatmaps.py,results/journal_full/exp21_path_integration_heatmaps,draft_asset_generation_code/generated_assets/figures/figure_A11_path_integration_heatmaps.png,,Copied archived full-run PNG by default; rerun command is listed in rerun_commands.ps1.
figure_A12_gru_path_integration_sweep,appendix_figure_archived_full_run,goldstone_lyapunov/experiments/exp29_gru_path_integration_sweep.py,results/journal_full/exp29_gru_path_integration_sweep,draft_asset_generation_code/generated_assets/figures/figure_A12_gru_path_integration_sweep.png,,Copied archived full-run PNG by default; rerun command is listed in rerun_commands.ps1.
Table 1,table,generate_table1,exp28_nontrivial_equivariant_rnn,draft_asset_generation_code/generated_assets/tables/table1_nontrivial_equivariant_rnn_metrics.tex,,
Table A1,table,generate_table_a1,manuscript claim hierarchy,draft_asset_generation_code/generated_assets/tables/table_A1_claim_to_evidence_hierarchy.tex,,
Table A2,table,generate_table_a2,results/conference_fix/autonomous_zero_diagnostic.csv,draft_asset_generation_code/generated_assets/tables/table_A2_autonomous_zero_diagnostic.tex,,
Table A3,table,generate_table_a3,results/learned_equivariant_pi,draft_asset_generation_code/generated_assets/tables/table_A3_learned_diagnostics.tex,,
Table A4,table,generate_table_a4,results/learned_equivariant_pi/model_registry.csv,draft_asset_generation_code/generated_assets/tables/table_A4_training_configuration.tex,,
Table A5,table,generate_table_a5,results/iclr_final_checks/stronger_baselines/baseline_sweep_summary.csv,draft_asset_generation_code/generated_assets/tables/table_A5_stronger_baseline_check.tex,,
